 #      wave           flux
       22900.000      0.99992862
       22900.040      0.99993053
       22900.080      0.99993121
       22900.120      0.99993122
       22900.160      0.99993088
       22900.200      0.99993039
       22900.240      0.99992984
       22900.280      0.99992926
       22900.320      0.99992867
       22900.360      0.99992808
       22900.400      0.99992749
       22900.440      0.99992690
       22900.480      0.99992630
       22900.520      0.99992570
       22900.560      0.99992511
       22900.600      0.99992451
       22900.640      0.99992390
       22900.680      0.99992330
       22900.720      0.99992269
       22900.760      0.99992209
       22900.800      0.99992148
       22900.840      0.99992086
       22900.880      0.99992025
       22900.920      0.99991963
       22900.960      0.99991901
       22901.000      0.99991838
       22901.040      0.99991776
       22901.080      0.99991712
       22901.120      0.99991649
       22901.160      0.99991585
       22901.200      0.99991521
       22901.240      0.99991457
       22901.280      0.99991392
       22901.320      0.99991326
       22901.360      0.99991261
       22901.400      0.99991195
       22901.440      0.99991128
       22901.480      0.99991061
       22901.520      0.99990994
       22901.560      0.99990926
       22901.600      0.99990857
       22901.640      0.99990788
       22901.680      0.99990719
       22901.720      0.99990649
       22901.760      0.99990578
       22901.800      0.99990507
       22901.840      0.99990436
       22901.880      0.99990363
       22901.920      0.99990291
       22901.960      0.99990217
       22902.000      0.99990143
       22902.040      0.99990069
       22902.080      0.99989993
       22902.120      0.99989917
       22902.160      0.99989841
       22902.200      0.99989764
       22902.240      0.99989686
       22902.280      0.99989607
       22902.320      0.99989528
       22902.360      0.99989448
       22902.400      0.99989367
       22902.440      0.99989285
       22902.480      0.99989203
       22902.520      0.99989120
       22902.560      0.99989036
       22902.600      0.99988951
       22902.640      0.99988866
       22902.680      0.99988779
       22902.720      0.99988692
       22902.760      0.99988604
       22902.800      0.99988515
       22902.840      0.99988425
       22902.880      0.99988335
       22902.920      0.99988243
       22902.960      0.99988151
       22903.000      0.99988057
       22903.040      0.99987963
       22903.080      0.99987867
       22903.120      0.99987770
       22903.160      0.99987672
       22903.200      0.99987573
       22903.240      0.99987472
       22903.280      0.99987370
       22903.320      0.99987266
       22903.360      0.99987161
       22903.400      0.99987054
       22903.440      0.99986946
       22903.480      0.99986835
       22903.520      0.99986723
       22903.560      0.99986609
       22903.600      0.99986493
       22903.640      0.99986375
       22903.680      0.99986255
       22903.720      0.99986133
       22903.760      0.99986009
       22903.800      0.99985882
       22903.840      0.99985753
       22903.880      0.99985622
       22903.920      0.99985488
       22903.960      0.99985351
       22904.000      0.99985212
       22904.040      0.99985071
       22904.080      0.99984926
       22904.120      0.99984779
       22904.160      0.99984629
       22904.200      0.99984476
       22904.240      0.99984320
