 #      wave           flux
       22900.000      0.99995446
       22900.040      0.99995648
       22900.080      0.99995729
       22900.120      0.99995744
       22900.160      0.99995725
       22900.200      0.99995692
       22900.240      0.99995652
       22900.280      0.99995610
       22900.320      0.99995567
       22900.360      0.99995523
       22900.400      0.99995480
       22900.440      0.99995436
       22900.480      0.99995393
       22900.520      0.99995349
       22900.560      0.99995305
       22900.600      0.99995261
       22900.640      0.99995217
       22900.680      0.99995173
       22900.720      0.99995128
       22900.760      0.99995084
       22900.800      0.99995039
       22900.840      0.99994994
       22900.880      0.99994949
       22900.920      0.99994904
       22900.960      0.99994859
       22901.000      0.99994813
       22901.040      0.99994768
       22901.080      0.99994722
       22901.120      0.99994676
       22901.160      0.99994629
       22901.200      0.99994583
       22901.240      0.99994536
       22901.280      0.99994489
       22901.320      0.99994442
       22901.360      0.99994394
       22901.400      0.99994346
       22901.440      0.99994298
       22901.480      0.99994250
       22901.520      0.99994201
       22901.560      0.99994152
       22901.600      0.99994103
       22901.640      0.99994053
       22901.680      0.99994003
       22901.720      0.99993953
       22901.760      0.99993902
       22901.800      0.99993852
       22901.840      0.99993800
       22901.880      0.99993749
       22901.920      0.99993697
       22901.960      0.99993644
       22902.000      0.99993591
       22902.040      0.99993538
       22902.080      0.99993485
       22902.120      0.99993431
       22902.160      0.99993376
       22902.200      0.99993322
       22902.240      0.99993266
       22902.280      0.99993211
       22902.320      0.99993155
       22902.360      0.99993098
       22902.400      0.99993041
       22902.440      0.99992983
       22902.480      0.99992925
       22902.520      0.99992867
       22902.560      0.99992808
       22902.600      0.99992748
       22902.640      0.99992688
       22902.680      0.99992628
       22902.720      0.99992567
       22902.760      0.99992505
       22902.800      0.99992443
       22902.840      0.99992381
       22902.880      0.99992317
       22902.920      0.99992254
       22902.960      0.99992189
       22903.000      0.99992124
       22903.040      0.99992058
       22903.080      0.99991992
       22903.120      0.99991925
       22903.160      0.99991857
       22903.200      0.99991789
       22903.240      0.99991719
       22903.280      0.99991649
       22903.320      0.99991578
       22903.360      0.99991505
       22903.400      0.99991432
       22903.440      0.99991358
       22903.480      0.99991283
       22903.520      0.99991206
       22903.560      0.99991129
       22903.600      0.99991050
       22903.640      0.99990970
       22903.680      0.99990889
       22903.720      0.99990806
       22903.760      0.99990723
       22903.800      0.99990637
       22903.840      0.99990551
       22903.880      0.99990463
       22903.920      0.99990373
       22903.960      0.99990282
       22904.000      0.99990190
       22904.040      0.99990095
       22904.080      0.99989999
       22904.120      0.99989902
       22904.160      0.99989803
       22904.200      0.99989702
       22904.240      0.99989599
       22904.280      0.99989494
       22904.320      0.99989388
