 #      wave           flux
       22900.000      0.99998075
       22900.040      0.99998272
       22900.080      0.99998375
       22900.120      0.99998426
       22900.160      0.99998452
       22900.200      0.99998465
       22900.240      0.99998473
       22900.280      0.99998480
       22900.320      0.99998486
       22900.360      0.99998492
       22900.400      0.99998498
       22900.440      0.99998504
       22900.480      0.99998510
       22900.520      0.99998516
       22900.560      0.99998523
       22900.600      0.99998529
       22900.640      0.99998535
       22900.680      0.99998542
       22900.720      0.99998548
       22900.760      0.99998555
       22900.800      0.99998561
       22900.840      0.99998567
       22900.880      0.99998572
       22900.920      0.99998575
       22900.960      0.99998576
       22901.000      0.99998573
       22901.040      0.99998566
       22901.080      0.99998554
       22901.120      0.99998536
       22901.160      0.99998511
       22901.200      0.99998479
       22901.240      0.99998438
       22901.280      0.99998388
       22901.320      0.99998329
       22901.360      0.99998258
       22901.400      0.99998175
       22901.440      0.99998080
       22901.480      0.99997971
       22901.520      0.99997849
       22901.560      0.99997713
       22901.600      0.99997563
       22901.640      0.99997402
       22901.680      0.99997232
       22901.720      0.99997057
       22901.760      0.99996883
       22901.800      0.99996714
       22901.840      0.99996555
       22901.880      0.99996410
       22901.920      0.99996283
       22901.960      0.99996174
       22902.000      0.99996080
       22902.040      0.99995989
       22902.080      0.99995881
       22902.120      0.99995728
       22902.160      0.99995500
       22902.200      0.99995166
       22902.240      0.99994696
       22902.280      0.99994059
       22902.320      0.99993234
       22902.360      0.99992214
       22902.400      0.99991013
       22902.440      0.99989683
       22902.480      0.99988296
       22902.520      0.99986897
       22902.560      0.99985416
       22902.600      0.99983522
       22902.640      0.99980422
       22902.680      0.99974678
       22902.720      0.99964045
       22902.760      0.99945051
       22902.800      0.99912101
       22902.840      0.99856217
       22902.880      0.99764884
       22902.920      0.99624117
       22902.960      0.99422768
       22903.000      0.99160140
       22903.040      0.98853787
       22903.080      0.98542507
       22903.120      0.98280540
       22903.160      0.98122331
       22903.200      0.98103862
       22903.240      0.98229454
       22903.280      0.98470079
       22903.320      0.98774308
       22903.360      0.99086196
       22903.400      0.99362197
       22903.440      0.99579519
       22903.480      0.99734748
       22903.520      0.99837011
       22903.560      0.99900281
       22903.600      0.99937860
       22903.640      0.99959726
       22903.680      0.99972237
       22903.720      0.99979225
       22903.760      0.99983051
       22903.800      0.99985223
       22903.840      0.99986662
       22903.880      0.99987834
       22903.920      0.99988921
       22903.960      0.99989962
       22904.000      0.99990935
       22904.040      0.99991808
       22904.080      0.99992562
       22904.120      0.99993196
       22904.160      0.99993717
       22904.200      0.99994138
       22904.240      0.99994475
       22904.280      0.99994744
       22904.320      0.99994964
       22904.360      0.99995149
       22904.400      0.99995314
       22904.440      0.99995470
       22904.480      0.99995622
       22904.520      0.99995773
       22904.560      0.99995923
       22904.600      0.99996070
       22904.640      0.99996212
       22904.680      0.99996349
       22904.720      0.99996477
       22904.760      0.99996596
       22904.800      0.99996702
       22904.840      0.99996796
       22904.880      0.99996876
       22904.920      0.99996944
       22904.960      0.99996998
       22905.000      0.99997041
       22905.040      0.99997072
       22905.080      0.99997092
       22905.120      0.99997103
       22905.160      0.99997105
       22905.200      0.99997098
       22905.240      0.99997084
       22905.280      0.99997064
       22905.320      0.99997038
       22905.360      0.99997007
       22905.400      0.99996971
       22905.440      0.99996932
       22905.480      0.99996891
       22905.520      0.99996848
       22905.560      0.99996804
       22905.600      0.99996759
       22905.640      0.99996715
       22905.680      0.99996671
       22905.720      0.99996628
       22905.760      0.99996586
       22905.800      0.99996545
       22905.840      0.99996504
       22905.880      0.99996465
       22905.920      0.99996427
       22905.960      0.99996389
       22906.000      0.99996353
       22906.040      0.99996317
       22906.080      0.99996282
       22906.120      0.99996248
       22906.160      0.99996214
       22906.200      0.99996182
       22906.240      0.99996150
       22906.280      0.99996118
       22906.320      0.99996088
       22906.360      0.99996057
       22906.400      0.99996028
       22906.440      0.99995999
       22906.480      0.99995970
       22906.520      0.99995942
       22906.560      0.99995914
       22906.600      0.99995885
       22906.640      0.99995857
       22906.680      0.99995828
       22906.720      0.99995798
       22906.760      0.99995768
       22906.800      0.99995737
       22906.840      0.99995704
       22906.880      0.99995671
       22906.920      0.99995635
       22906.960      0.99995598
       22907.000      0.99995559
       22907.040      0.99995518
       22907.080      0.99995475
       22907.120      0.99995429
       22907.160      0.99995381
       22907.200      0.99995330
       22907.240      0.99995275
       22907.280      0.99995217
       22907.320      0.99995155
       22907.360      0.99995090
       22907.400      0.99995019
       22907.440      0.99994943
       22907.480      0.99994862
       22907.520      0.99994774
       22907.560      0.99994680
       22907.600      0.99994579
       22907.640      0.99994470
       22907.680      0.99994353
       22907.720      0.99994227
       22907.760      0.99994092
       22907.800      0.99993948
       22907.840      0.99993793
       22907.880      0.99993628
       22907.920      0.99993451
       22907.960      0.99993263
       22908.000      0.99993063
       22908.040      0.99992852
       22908.080      0.99992629
       22908.120      0.99992396
       22908.160      0.99992154
       22908.200      0.99991906
       22908.240      0.99991654
       22908.280      0.99991401
       22908.320      0.99991150
       22908.360      0.99990902
       22908.400      0.99990659
       22908.440      0.99990420
       22908.480      0.99990180
       22908.520      0.99989931
       22908.560      0.99989657
       22908.600      0.99989338
       22908.640      0.99988952
       22908.680      0.99988476
       22908.720      0.99987888
       22908.760      0.99987165
       22908.800      0.99986292
       22908.840      0.99985259
       22908.880      0.99984073
       22908.920      0.99982762
       22908.960      0.99981372
       22909.000      0.99979930
       22909.040      0.99978387
       22909.080      0.99976515
       22909.120      0.99973748
       22909.160      0.99969008
       22909.200      0.99960569
       22909.240      0.99945714
       22909.280      0.99919993
       22909.320      0.99876069
       22909.360      0.99802783
       22909.400      0.99685927
       22909.440      0.99511680
       22909.480      0.99272952
       22909.520      0.98977355
       22909.560      0.98653468
       22909.600      0.98350301
       22909.640      0.98126201
       22909.680      0.98030599
       22909.720      0.98085809
       22909.760      0.98276063
       22909.800      0.98556418
       22909.840      0.98872463
       22909.880      0.99176785
       22909.920      0.99435817
       22909.960      0.99632081
       22910.000      0.99765942
       22910.040      0.99850352
       22910.080      0.99900783
       22910.120      0.99929821
       22910.160      0.99946130
       22910.200      0.99955253
       22910.240      0.99960492
       22910.280      0.99963608
       22910.320      0.99965486
       22910.360      0.99966576
       22910.400      0.99967132
       22910.440      0.99967318
       22910.480      0.99967243
       22910.520      0.99966980
       22910.560      0.99966574
       22910.600      0.99966057
       22910.640      0.99965450
       22910.680      0.99964771
       22910.720      0.99964027
       22910.760      0.99963218
       22910.800      0.99962336
       22910.840      0.99961368
       22910.880      0.99960298
       22910.920      0.99959109
       22910.960      0.99957784
       22911.000      0.99956305
       22911.040      0.99954655
       22911.080      0.99952818
       22911.120      0.99950780
       22911.160      0.99948531
       22911.200      0.99946071
       22911.240      0.99943414
       22911.280      0.99940596
       22911.320      0.99937665
       22911.360      0.99934678
       22911.400      0.99931694
       22911.440      0.99928778
       22911.480      0.99925992
       22911.520      0.99923400
       22911.560      0.99921064
       22911.600      0.99919046
       22911.640      0.99917402
       22911.680      0.99916180
       22911.720      0.99915412
       22911.760      0.99915107
       22911.800      0.99915246
       22911.840      0.99915797
       22911.880      0.99916716
       22911.920      0.99917958
       22911.960      0.99919475
       22912.000      0.99921219
       22912.040      0.99923139
       22912.080      0.99925188
       22912.120      0.99927315
       22912.160      0.99929472
       22912.200      0.99931610
       22912.240      0.99933679
       22912.280      0.99935633
       22912.320      0.99937424
       22912.360      0.99939012
       22912.400      0.99940363
       22912.440      0.99941455
       22912.480      0.99942285
       22912.520      0.99942861
       22912.560      0.99943195
       22912.600      0.99943307
       22912.640      0.99943214
       22912.680      0.99942937
       22912.720      0.99942495
       22912.760      0.99941907
       22912.800      0.99941195
       22912.840      0.99940377
       22912.880      0.99939474
       22912.920      0.99938506
       22912.960      0.99937492
       22913.000      0.99936452
       22913.040      0.99935403
       22913.080      0.99934363
       22913.120      0.99933343
       22913.160      0.99932354
       22913.200      0.99931398
       22913.240      0.99930478
       22913.280      0.99929595
       22913.320      0.99928747
       22913.360      0.99927936
       22913.400      0.99927161
       22913.440      0.99926422
       22913.480      0.99925717
       22913.520      0.99925047
       22913.560      0.99924411
       22913.600      0.99923810
       22913.640      0.99923241
       22913.680      0.99922706
       22913.720      0.99922204
       22913.760      0.99921734
       22913.800      0.99921296
       22913.840      0.99920890
       22913.880      0.99920514
       22913.920      0.99920170
       22913.960      0.99919856
       22914.000      0.99919571
       22914.040      0.99919317
       22914.080      0.99919092
       22914.120      0.99918895
       22914.160      0.99918727
       22914.200      0.99918587
       22914.240      0.99918475
       22914.280      0.99918390
