 #      wave           flux
       22900.000      0.99994662
       22900.040      0.99994844
       22900.080      0.99994904
       22900.120      0.99994899
       22900.160      0.99994859
       22900.200      0.99994805
       22900.240      0.99994746
       22900.280      0.99994684
       22900.320      0.99994623
       22900.360      0.99994563
       22900.400      0.99994503
       22900.440      0.99994444
       22900.480      0.99994384
       22900.520      0.99994323
       22900.560      0.99994255
       22900.600      0.99994179
       22900.640      0.99994090
       22900.680      0.99993982
       22900.720      0.99993852
       22900.760      0.99993695
       22900.800      0.99993505
       22900.840      0.99993280
       22900.880      0.99993015
       22900.920      0.99992709
       22900.960      0.99992365
       22901.000      0.99991991
       22901.040      0.99991602
       22901.080      0.99991216
       22901.120      0.99990845
       22901.160      0.99990489
       22901.200      0.99990121
       22901.240      0.99989659
       22901.280      0.99988949
       22901.320      0.99987744
       22901.360      0.99985634
       22901.400      0.99981834
       22901.440      0.99974717
       22901.480      0.99960939
       22901.520      0.99934061
       22901.560      0.99882769
       22901.600      0.99789280
       22901.640      0.99629702
       22901.680      0.99380733
       22901.720      0.99035142
       22901.760      0.98614508
       22901.800      0.98168847
       22901.840      0.97772133
       22901.880      0.97509801
       22901.920      0.97450210
       22901.960      0.97612348
       22902.000      0.97954821
       22902.040      0.98395494
       22902.080      0.98843816
       22902.120      0.99230784
       22902.160      0.99523553
       22902.200      0.99722030
       22902.240      0.99844822
       22902.280      0.99915095
       22902.320      0.99951970
       22902.360      0.99969333
       22902.400      0.99976762
       22902.440      0.99980047
       22902.480      0.99981859
       22902.520      0.99983003
       22902.560      0.99983511
       22902.600      0.99983310
       22902.640      0.99982363
       22902.680      0.99980219
       22902.720      0.99975146
       22902.760      0.99962994
       22902.800      0.99936548
       22902.840      0.99885676
       22902.880      0.99797238
       22902.920      0.99655331
       22902.960      0.99445568
       22903.000      0.99164560
       22903.040      0.98829502
       22903.080      0.98483105
       22903.120      0.98188142
       22903.160      0.98009634
       22903.200      0.97991548
       22903.240      0.98137144
       22903.280      0.98406633
       22903.320      0.98738325
       22903.360      0.99072833
       22903.400      0.99368466
       22903.440      0.99602062
       22903.480      0.99766430
       22903.520      0.99869211
       22903.560      0.99926948
       22903.600      0.99956654
       22903.640      0.99971389
       22903.680      0.99979092
       22903.720      0.99983592
       22903.760      0.99986382
       22903.800      0.99988025
       22903.840      0.99988810
       22903.880      0.99988969
       22903.920      0.99988730
       22903.960      0.99988309
       22904.000      0.99987883
       22904.040      0.99987560
       22904.080      0.99987372
       22904.120      0.99987293
       22904.160      0.99987272
       22904.200      0.99987246
       22904.240      0.99987163
       22904.280      0.99986997
       22904.320      0.99986759
       22904.360      0.99986500
