 #      wave           flux
       22900.000      0.99996264
       22900.040      0.99996475
       22900.080      0.99996566
       22900.120      0.99996594
       22900.160      0.99996588
       22900.200      0.99996566
       22900.240      0.99996538
       22900.280      0.99996506
       22900.320      0.99996472
       22900.360      0.99996437
       22900.400      0.99996400
       22900.440      0.99996362
       22900.480      0.99996321
       22900.520      0.99996277
       22900.560      0.99996230
       22900.600      0.99996177
       22900.640      0.99996119
       22900.680      0.99996054
       22900.720      0.99995980
       22900.760      0.99995896
       22900.800      0.99995801
       22900.840      0.99995693
       22900.880      0.99995572
       22900.920      0.99995435
       22900.960      0.99995283
       22901.000      0.99995112
       22901.040      0.99994922
       22901.080      0.99994709
       22901.120      0.99994469
       22901.160      0.99994193
       22901.200      0.99993860
       22901.240      0.99993428
       22901.280      0.99992806
       22901.320      0.99991792
       22901.360      0.99989917
       22901.400      0.99986055
       22901.440      0.99977623
       22901.480      0.99959063
       22901.520      0.99919478
       22901.560      0.99839709
       22901.600      0.99690021
       22901.640      0.99430969
       22901.680      0.99022517
       22901.720      0.98445896
       22901.760      0.97731142
       22901.800      0.96965575
       22901.840      0.96283824
       22901.880      0.95836380
       22901.920      0.95737468
       22901.960      0.96016014
       22902.000      0.96600873
       22902.040      0.97351664
       22902.080      0.98112917
       22902.120      0.98766036
       22902.160      0.99255634
       22902.200      0.99583390
       22902.240      0.99783011
       22902.280      0.99894041
       22902.320      0.99949164
       22902.360      0.99972873
       22902.400      0.99981979
       22902.440      0.99985905
       22902.480      0.99988607
       22902.520      0.99991099
       22902.560      0.99993256
       22902.600      0.99994810
       22902.640      0.99995659
       22902.680      0.99995855
       22902.720      0.99995551
       22902.760      0.99994943
       22902.800      0.99994229
       22902.840      0.99993582
       22902.880      0.99993110
       22902.920      0.99992852
       22902.960      0.99992798
       22903.000      0.99992911
       22903.040      0.99993140
       22903.080      0.99993433
       22903.120      0.99993741
       22903.160      0.99994023
       22903.200      0.99994255
       22903.240      0.99994426
       22903.280      0.99994536
       22903.320      0.99994587
       22903.360      0.99994585
       22903.400      0.99994537
       22903.440      0.99994450
       22903.480      0.99994332
       22903.520      0.99994188
       22903.560      0.99994027
       22903.600      0.99993856
       22903.640      0.99993682
       22903.680      0.99993512
       22903.720      0.99993351
       22903.760      0.99993205
       22903.800      0.99993077
       22903.840      0.99992967
       22903.880      0.99992875
       22903.920      0.99992799
       22903.960      0.99992738
       22904.000      0.99992690
       22904.040      0.99992653
       22904.080      0.99992624
       22904.120      0.99992602
       22904.160      0.99992585
       22904.200      0.99992570
       22904.240      0.99992556
       22904.280      0.99992541
       22904.320      0.99992523
       22904.360      0.99992500
       22904.400      0.99992471
       22904.440      0.99992436
       22904.480      0.99992394
       22904.520      0.99992345
       22904.560      0.99992291
       22904.600      0.99992230
       22904.640      0.99992163
       22904.680      0.99992090
       22904.720      0.99992012
       22904.760      0.99991929
       22904.800      0.99991841
       22904.840      0.99991748
       22904.880      0.99991651
       22904.920      0.99991550
       22904.960      0.99991444
       22905.000      0.99991335
       22905.040      0.99991223
       22905.080      0.99991107
       22905.120      0.99990989
       22905.160      0.99990868
       22905.200      0.99990744
       22905.240      0.99990618
       22905.280      0.99990491
       22905.320      0.99990362
       22905.360      0.99990231
       22905.400      0.99990099
       22905.440      0.99989966
       22905.480      0.99989833
       22905.520      0.99989699
       22905.560      0.99989565
       22905.600      0.99989431
       22905.640      0.99989297
       22905.680      0.99989162
       22905.720      0.99989027
       22905.760      0.99988892
       22905.800      0.99988756
       22905.840      0.99988619
       22905.880      0.99988481
       22905.920      0.99988341
       22905.960      0.99988200
       22906.000      0.99988057
       22906.040      0.99987912
       22906.080      0.99987765
       22906.120      0.99987616
       22906.160      0.99987464
       22906.200      0.99987308
       22906.240      0.99987150
       22906.280      0.99986989
       22906.320      0.99986824
       22906.360      0.99986655
       22906.400      0.99986482
       22906.440      0.99986305
       22906.480      0.99986124
       22906.520      0.99985938
       22906.560      0.99985748
       22906.600      0.99985552
       22906.640      0.99985351
       22906.680      0.99985145
       22906.720      0.99984933
       22906.760      0.99984715
       22906.800      0.99984491
       22906.840      0.99984260
       22906.880      0.99984024
       22906.920      0.99983781
       22906.960      0.99983531
       22907.000      0.99983275
       22907.040      0.99983013
       22907.080      0.99982743
       22907.120      0.99982467
       22907.160      0.99982184
       22907.200      0.99981894
       22907.240      0.99981597
       22907.280      0.99981293
       22907.320      0.99980982
       22907.360      0.99980664
       22907.400      0.99980339
       22907.440      0.99980007
       22907.480      0.99979667
       22907.520      0.99979320
       22907.560      0.99978965
       22907.600      0.99978603
       22907.640      0.99978233
       22907.680      0.99977856
       22907.720      0.99977471
       22907.760      0.99977078
       22907.800      0.99976678
       22907.840      0.99976270
       22907.880      0.99975853
       22907.920      0.99975429
       22907.960      0.99974996
       22908.000      0.99974555
       22908.040      0.99974106
       22908.080      0.99973646
       22908.120      0.99973175
       22908.160      0.99972691
       22908.200      0.99972193
       22908.240      0.99971679
       22908.280      0.99971147
       22908.320      0.99970596
       22908.360      0.99970022
       22908.400      0.99969425
       22908.440      0.99968803
       22908.480      0.99968153
       22908.520      0.99967475
       22908.560      0.99966765
       22908.600      0.99966023
       22908.640      0.99965246
       22908.680      0.99964432
       22908.720      0.99963581
       22908.760      0.99962689
       22908.800      0.99961755
       22908.840      0.99960777
       22908.880      0.99959754
       22908.920      0.99958683
       22908.960      0.99957563
       22909.000      0.99956391
       22909.040      0.99955166
       22909.080      0.99953887
       22909.120      0.99952550
       22909.160      0.99951155
       22909.200      0.99949699
       22909.240      0.99948179
       22909.280      0.99946594
       22909.320      0.99944940
       22909.360      0.99943212
       22909.400      0.99941406
       22909.440      0.99939519
       22909.480      0.99937544
       22909.520      0.99935478
       22909.560      0.99933317
       22909.600      0.99931054
       22909.640      0.99928686
       22909.680      0.99926207
       22909.720      0.99923613
       22909.760      0.99920899
       22909.800      0.99918056
       22909.840      0.99915075
       22909.880      0.99911941
       22909.920      0.99908630
       22909.960      0.99905110
       22910.000      0.99901341
       22910.040      0.99897283
       22910.080      0.99892890
       22910.120      0.99888119
       22910.160      0.99882926
       22910.200      0.99877265
       22910.240      0.99871092
       22910.280      0.99864361
       22910.320      0.99857027
       22910.360      0.99849043
       22910.400      0.99840356
       22910.440      0.99830906
       22910.480      0.99820614
       22910.520      0.99809374
       22910.560      0.99797042
       22910.600      0.99783442
       22910.640      0.99768371
       22910.680      0.99751595
       22910.720      0.99732838
       22910.760      0.99711767
       22910.800      0.99687955
       22910.840      0.99660823
       22910.880      0.99629612
       22910.920      0.99593373
       22910.960      0.99550912
       22911.000      0.99500688
       22911.040      0.99440729
       22911.080      0.99368496
       22911.120      0.99280558
       22911.160      0.99172135
       22911.200      0.99036776
       22911.240      0.98866112
       22911.280      0.98649739
       22911.320      0.98375517
       22911.360      0.98031075
       22911.400      0.97606575
       22911.440      0.97099300
       22911.480      0.96519117
       22911.520      0.95893590
       22911.560      0.95270140
       22911.600      0.94711969
       22911.640      0.94287495
       22911.680      0.94055129
       22911.720      0.94048471
       22911.760      0.94267122
       22911.800      0.94676736
       22911.840      0.95218247
       22911.880      0.95822722
       22911.920      0.96426443
       22911.960      0.96981488
       22912.000      0.97459505
       22912.040      0.97849572
       22912.080      0.98152863
       22912.120      0.98376461
       22912.160      0.98528668
       22912.200      0.98615456
       22912.240      0.98638834
       22912.280      0.98596475
       22912.320      0.98482417
       22912.360      0.98289352
       22912.400      0.98011855
       22912.440      0.97649981
       22912.480      0.97212246
       22912.520      0.96716450
       22912.560      0.96187819
       22912.600      0.95655272
       22912.640      0.95146942
       22912.680      0.94686129
       22912.720      0.94288755
       22912.760      0.93962736
       22912.800      0.93709121
       22912.840      0.93524546
       22912.880      0.93404905
       22912.920      0.93349984
       22912.960      0.93366921
       22913.000      0.93470222
       22913.040      0.93677573
       22913.080      0.94001999
       22913.120      0.94443230
       22913.160      0.94982677
       22913.200      0.95585756
       22913.240      0.96209418
       22913.280      0.96811221
       22913.320      0.97357652
       22913.360      0.97829407
       22913.400      0.98220863
       22913.440      0.98536384
       22913.480      0.98786056
       22913.520      0.98981884
       22913.560      0.99135338
       22913.600      0.99256317
       22913.640      0.99352709
       22913.680      0.99430496
       22913.720      0.99494140
       22913.760      0.99546911
       22913.800      0.99591237
       22913.840      0.99628954
       22913.880      0.99661447
       22913.920      0.99689718
       22913.960      0.99714452
       22914.000      0.99736142
       22914.040      0.99755175
       22914.080      0.99771892
       22914.120      0.99786607
       22914.160      0.99799623
       22914.200      0.99811227
       22914.240      0.99821684
       22914.280      0.99831217
       22914.320      0.99839992
       22914.360      0.99848118
       22914.400      0.99855665
       22914.440      0.99862685
       22914.480      0.99869221
       22914.520      0.99875310
       22914.560      0.99880987
       22914.600      0.99886288
       22914.640      0.99891242
       22914.680      0.99895879
       22914.720      0.99900219
       22914.760      0.99904283
       22914.800      0.99908084
       22914.840      0.99911638
       22914.880      0.99914957
       22914.920      0.99918055
       22914.960      0.99920945
       22915.000      0.99923640
       22915.040      0.99926153
       22915.080      0.99928497
       22915.120      0.99930685
       22915.160      0.99932730
       22915.200      0.99934645
       22915.240      0.99936443
       22915.280      0.99938138
       22915.320      0.99939741
       22915.360      0.99941266
       22915.400      0.99942723
       22915.440      0.99944123
       22915.480      0.99945472
       22915.520      0.99946776
       22915.560      0.99948036
       22915.600      0.99949255
       22915.640      0.99950433
       22915.680      0.99951572
       22915.720      0.99952672
       22915.760      0.99953733
       22915.800      0.99954758
       22915.840      0.99955745
       22915.880      0.99956696
       22915.920      0.99957612
       22915.960      0.99958493
       22916.000      0.99959340
       22916.040      0.99960154
       22916.080      0.99960935
       22916.120      0.99961684
       22916.160      0.99962402
       22916.200      0.99963090
       22916.240      0.99963748
       22916.280      0.99964377
       22916.320      0.99964979
       22916.360      0.99965554
       22916.400      0.99966104
       22916.440      0.99966629
       22916.480      0.99967130
       22916.520      0.99967610
       22916.560      0.99968068
       22916.600      0.99968506
       22916.640      0.99968925
       22916.680      0.99969327
       22916.720      0.99969711
       22916.760      0.99970079
       22916.800      0.99970433
       22916.840      0.99970774
       22916.880      0.99971101
       22916.920      0.99971417
       22916.960      0.99971723
       22917.000      0.99972018
       22917.040      0.99972303
       22917.080      0.99972578
       22917.120      0.99972842
       22917.160      0.99973094
       22917.200      0.99973335
       22917.240      0.99973562
       22917.280      0.99973776
       22917.320      0.99973974
       22917.360      0.99974158
       22917.400      0.99974325
       22917.440      0.99974475
       22917.480      0.99974607
       22917.520      0.99974720
       22917.560      0.99974814
       22917.600      0.99974887
       22917.640      0.99974939
       22917.680      0.99974970
       22917.720      0.99974977
       22917.760      0.99974962
       22917.800      0.99974923
       22917.840      0.99974860
       22917.880      0.99974774
       22917.920      0.99974666
       22917.960      0.99974534
       22918.000      0.99974381
       22918.040      0.99974205
       22918.080      0.99974005
       22918.120      0.99973778
       22918.160      0.99973517
       22918.200      0.99973209
       22918.240      0.99972831
       22918.280      0.99972356
       22918.320      0.99971754
       22918.360      0.99970994
       22918.400      0.99970043
       22918.440      0.99968869
       22918.480      0.99967439
