 #      wave           flux
       19380.000      0.99563257
       19380.052      0.99561359
       19380.104      0.99558633
       19380.155      0.99555597
       19380.207      0.99552458
       19380.259      0.99549279
       19380.311      0.99546071
       19380.362      0.99542830
       19380.414      0.99539554
       19380.466      0.99536236
       19380.518      0.99532871
       19380.569      0.99529454
       19380.621      0.99525980
       19380.673      0.99522444
       19380.725      0.99518840
       19380.776      0.99515164
       19380.828      0.99511410
       19380.880      0.99507573
       19380.931      0.99503647
       19380.983      0.99499629
       19381.035      0.99495511
       19381.087      0.99491290
       19381.139      0.99486960
       19381.190      0.99482516
       19381.242      0.99477952
       19381.294      0.99473264
       19381.345      0.99468446
       19381.397      0.99463493
       19381.449      0.99458399
       19381.501      0.99453157
       19381.553      0.99447755
       19381.604      0.99442178
       19381.656      0.99436410
       19381.708      0.99430433
       19381.760      0.99424228
       19381.811      0.99417776
       19381.863      0.99411060
       19381.915      0.99404062
       19381.966      0.99396762
       19382.018      0.99389143
       19382.070      0.99381186
       19382.122      0.99372873
       19382.174      0.99364186
       19382.225      0.99355106
       19382.277      0.99345614
       19382.329      0.99335694
       19382.380      0.99325326
       19382.432      0.99314492
       19382.484      0.99303173
       19382.536      0.99291352
       19382.588      0.99279010
       19382.639      0.99266128
       19382.691      0.99252689
       19382.743      0.99238673
       19382.795      0.99224064
       19382.846      0.99208840
       19382.898      0.99192982
       19382.950      0.99176461
       19383.001      0.99159229
       19383.053      0.99141198
       19383.105      0.99122243
       19383.157      0.99102226
       19383.209      0.99081001
       19383.260      0.99058424
       19383.312      0.99034354
       19383.364      0.99008657
       19383.415      0.98981230
       19383.467      0.98951993
       19383.519      0.98920881
       19383.571      0.98887830
       19383.623      0.98852774
       19383.674      0.98815633
       19383.726      0.98776285
       19383.778      0.98734509
       19383.830      0.98689963
       19383.881      0.98642239
       19383.933      0.98590907
       19383.985      0.98535525
       19384.036      0.98475639
       19384.088      0.98410763
       19384.140      0.98340334
       19384.192      0.98263691
       19384.244      0.98180105
       19384.295      0.98088820
       19384.347      0.97989056
       19384.399      0.97879983
       19384.450      0.97760609
       19384.502      0.97629544
       19384.554      0.97484721
       19384.606      0.97323610
       19384.658      0.97143447
       19384.709      0.96941288
       19384.761      0.96713957
       19384.813      0.96457799
       19384.865      0.96168125
       19384.916      0.95838855
       19384.968      0.95462553
       19385.020      0.95029763
       19385.071      0.94528813
       19385.123      0.93945573
       19385.175      0.93263297
       19385.227      0.92461104
       19385.279      0.91510164
       19385.330      0.90374668
       19385.382      0.89011444
       19385.434      0.87364713
       19385.485      0.85356695
       19385.537      0.82889563
       19385.589      0.79843285
       19385.641      0.76114680
       19385.693      0.71732550
       19385.744      0.67021296
       19385.796      0.62620401
       19385.848      0.59209751
       19385.900      0.57216843
       19385.951      0.56806992
       19386.003      0.58017910
       19386.055      0.60744145
       19386.107      0.64677737
       19386.158      0.69259943
       19386.210      0.73828469
       19386.262      0.77909456
       19386.314      0.81328064
       19386.365      0.84107512
       19386.417      0.86350008
       19386.469      0.88176767
       19386.520      0.89681170
       19386.572      0.90928154
       19386.624      0.91969830
       19386.676      0.92845942
       19386.728      0.93586500
       19386.779      0.94216189
       19386.831      0.94754910
       19386.883      0.95219013
       19386.934      0.95621062
       19386.986      0.95971668
       19387.038      0.96279759
       19387.090      0.96551631
       19387.142      0.96791066
       19387.193      0.97001873
       19387.245      0.97189088
       19387.297      0.97357366
       19387.349      0.97509616
       19387.400      0.97647572
       19387.452      0.97772493
       19387.504      0.97885516
       19387.555      0.97987805
       19387.607      0.98080547
       19387.659      0.98164903
       19387.711      0.98241913
       19387.763      0.98312399
       19387.814      0.98376992
       19387.866      0.98436241
       19387.918      0.98490665
       19387.969      0.98540776
       19388.021      0.98587076
       19388.073      0.98630050
       19388.125      0.98670125
       19388.177      0.98707602
       19388.228      0.98742632
       19388.280      0.98775291
       19388.332      0.98805625
       19388.384      0.98833670
       19388.435      0.98859461
       19388.487      0.98883022
       19388.539      0.98904352
       19388.590      0.98923381
       19388.642      0.98939958
       19388.694      0.98953882
       19388.746      0.98964989
       19388.798      0.98973292
       19388.849      0.98979031
       19388.901      0.98982536
       19388.953      0.98983724
       19389.004      0.98981042
       19389.056      0.98970189
       19389.108      0.98944470
       19389.160      0.98896838
       19389.212      0.98824063
       19389.263      0.98733340
       19389.315      0.98643767
       19389.367      0.98580852
       19389.419      0.98568892
       19389.470      0.98616285
       19389.522      0.98707541
       19389.574      0.98817070
       19389.625      0.98921589
       19389.677      0.99005418
       19389.729      0.99064728
       19389.781      0.99103904
       19389.833      0.99129920
       19389.884      0.99149093
       19389.936      0.99165214
       19389.988      0.99179618
       19390.039      0.99192460
       19390.091      0.99203591
       19390.143      0.99212961
       19390.195      0.99220719
       19390.247      0.99227149
       19390.298      0.99232556
