 #      wave           flux
       22900.000      0.99996478
       22900.040      0.99996654
       22900.080      0.99996715
       22900.120      0.99996714
       22900.160      0.99996682
       22900.200      0.99996638
       22900.240      0.99996591
       22900.280      0.99996544
       22900.320      0.99996500
       22900.360      0.99996460
       22900.400      0.99996424
       22900.440      0.99996391
       22900.480      0.99996362
       22900.520      0.99996333
       22900.560      0.99996301
       22900.600      0.99996261
       22900.640      0.99996207
       22900.680      0.99996132
       22900.720      0.99996032
       22900.760      0.99995899
       22900.800      0.99995727
       22900.840      0.99995513
       22900.880      0.99995251
       22900.920      0.99994944
       22900.960      0.99994598
       22901.000      0.99994235
       22901.040      0.99993889
       22901.080      0.99993601
       22901.120      0.99993407
       22901.160      0.99993325
       22901.200      0.99993330
       22901.240      0.99993326
       22901.280      0.99993128
       22901.320      0.99992486
       22901.360      0.99991092
       22901.400      0.99988544
       22901.440      0.99984185
       22901.480      0.99976744
       22901.520      0.99963542
       22901.560      0.99939092
       22901.600      0.99893578
       22901.640      0.99813722
       22901.680      0.99688117
       22901.720      0.99514341
       22901.760      0.99303453
       22901.800      0.99079869
       22901.840      0.98880161
       22901.880      0.98747465
       22901.920      0.98716994
       22901.960      0.98798899
       22902.000      0.98971721
       22902.040      0.99193504
       22902.080      0.99418301
       22902.120      0.99611509
       22902.160      0.99757287
       22902.200      0.99855932
       22902.240      0.99916976
       22902.280      0.99952043
       22902.320      0.99970619
       22902.360      0.99979559
       22902.400      0.99983550
       22902.440      0.99985377
       22902.480      0.99986269
       22902.520      0.99986556
       22902.560      0.99986232
       22902.600      0.99985288
       22902.640      0.99983669
       22902.680      0.99980746
       22902.720      0.99974379
       22902.760      0.99959661
       22902.800      0.99928187
       22902.840      0.99868198
       22902.880      0.99764438
       22902.920      0.99598499
       22902.960      0.99353941
       22903.000      0.99027078
       22903.040      0.98638224
       22903.080      0.98236975
       22903.120      0.97895390
       22903.160      0.97687587
       22903.200      0.97663226
       22903.240      0.97828375
       22903.280      0.98142958
       22903.320      0.98536538
       22903.360      0.98934163
       22903.400      0.99279352
       22903.440      0.99544600
       22903.480      0.99728446
       22903.520      0.99844982
       22903.560      0.99913460
       22903.600      0.99951421
       22903.640      0.99971583
       22903.680      0.99981781
       22903.720      0.99986528
       22903.760      0.99988444
       22903.800      0.99989085
       22903.840      0.99989339
       22903.880      0.99989606
       22903.920      0.99990000
       22903.960      0.99990495
       22904.000      0.99991014
       22904.040      0.99991482
       22904.080      0.99991858
       22904.120      0.99992126
       22904.160      0.99992292
       22904.200      0.99992367
       22904.240      0.99992370
       22904.280      0.99992321
