order, start,  end
5, 1.7309 , 1.7364
6, 1.7206 , 1.7295
13, 1.6085 , 1.6140
14, 1.6010 , 1.6085
16, 1.5690 , 1.5831
21, 1.5042 , 1.5180
22, 1.4947 , 1.5065
