x2,w2,x3,w3,x4,w4,x5,w5,x6,w6,x10,w10,x11,w11,x13,w13,x14,w14,x16,w16,x17,w17,x20,w20,x21,w21,x22,w22
27,1.7744025213336942,27,1.7572906744289398,27,1.74051805117925,27,1.7240821775436401,27,1.7079591164445875,27,1.64652834271325,27,1.631889084777832,27,1.60339904484272,27,1.589529055480957,27,1.5626052669143677,27,1.5490524780273438,27,1.5115048358917236,27,1.4992515290617943,27,1.4872241898798941
28,1.7744162699365618,28,1.7573042953848839,28,1.7405315494139988,28,1.7240955463266372,28,1.7079723776054383,28,1.6465411184098986,28,1.6319017414855956,28,1.603411518559456,28,1.5895414343261718,28,1.5626173525619507,28,1.5490653601074218,28,1.511516467590332,28,1.4992630872535704,28,1.487235655720234
29,1.7744300167250633,29,1.757317914528847,29,1.7405450458685559,29,1.7241089133143426,29,1.7079856368899344,29,1.6465538922839695,29,1.6319143815612793,29,1.603423990650177,29,1.5895538333129884,29,1.5626294348526,29,1.5490782458496095,29,1.5115280813598633,29,1.4992746439385414,29,1.4872471200180055
30,1.774443761229515,30,1.757331531405449,30,1.7405585401137669,30,1.7241222780275345,30,1.7079988939976691,30,1.6465666634135778,30,1.6319270324707031,30,1.6034364607429505,30,1.589566200866699,30,1.5626415226364134,30,1.5490910546875,30,1.511539693374634,30,1.4992861986589432,30,1.487258582431078
31,1.774457503864765,31,1.7573451463913916,31,1.7405720324595768,31,1.724135640926361,31,1.7080121492385865,31,1.646579434098138,31,1.6319396919250488,31,1.6034489285516738,31,1.589578582763672,31,1.5626536018371582,31,1.5491039733886718,31,1.5115513186645508,31,1.4992977518165111,31,1.4872700432288646
32,1.7744712446427344,32,1.7573587595772744,32,1.7405855229748621,32,1.7241490020871162,32,1.7080254027223585,32,1.646592202483283,32,1.6319523210144042,32,1.603461394791603,32,1.5895909747314454,32,1.562665682373047,32,1.5491168579101562,32,1.5115629361724854,32,1.4993093034303189,32,1.4872815025031567
33,1.7744849831414224,33,1.7573723704838755,33,1.7405990112993452,33,1.7241623610043526,33,1.7080386539077757,33,1.64660496796502,33,1.6319649644470215,33,1.603473859052658,33,1.5896033367919922,33,1.562677758102417,33,1.5491296704101563,33,1.5115745471954345,33,1.4993208531725406,33,1.4872929598617552
34,1.7744987197256086,34,1.757385979552269,34,1.7406124977376727,34,1.724175718100071,34,1.7080519033026695,34,1.6466177328745526,34,1.6319776025390624,34,1.6034863212108612,34,1.589615714111328,34,1.5626898361968993,34,1.5491425659179687,34,1.511586170501709,34,1.4993324013018607,34,1.4873044156634807
35,1.7745124544048312,35,1.7573995866656302,35,1.7406259822686512,35,1.724189073293209,35,1.708065150756836,35,1.6466304956965978,35,1.6319902352905273,35,1.6034987814950943,35,1.589628099975586,35,1.5627019085311888,35,1.5491554943847656,35,1.5115977740478517,35,1.4993439478194714,35,1.487315869796276
36,1.7745261870217324,36,1.7574131917858125,36,1.7406394648234051,36,1.7242024265348912,36,1.7080783962249755,36,1.646643255636427,36,1.6320028759765624,36,1.6035112398576736,36,1.5896404702758788,36,1.5627139846420288,36,1.54916830078125,36,1.5116093827819825,36,1.4993554926156998,36,1.4873273222255705
37,1.774539917514324,37,1.7574267948067186,37,1.7406529452668296,37,1.7242157776844502,37,1.7080916396605967,37,1.6466560151735943,37,1.6320155143737793,37,1.6035236961650847,37,1.5896528408813475,37,1.562726054573059,37,1.5491811584472657,37,1.5116209992980958,37,1.4993670356571673,37,1.4873387728869916
38,1.7745536463022231,38,1.7574403961634635,38,1.7406664241194725,38,1.7242291272699832,38,1.7081048814213275,38,1.6466687723583644,38,1.6320281401062011,38,1.603536150598526,38,1.5896652084350587,38,1.5627381209945679,38,1.5491940344238282,38,1.5116325988769532,38,1.499378577284813,38,1.4873502221369743
39,1.77456737285614,39,1.7574539952921866,39,1.7406799006938933,39,1.7242424745845795,39,1.7081181209743024,39,1.6466815267033046,39,1.632040771331787,39,1.6035486032056807,39,1.5896775659179687,39,1.5627501934432984,39,1.5492068103027345,39,1.5116441970062258,39,1.4993901170039177,39,1.4873616694879532
40,1.7745810974979401,40,1.7574675924897194,40,1.7406933754086495,40,1.7242558201026916,40,1.7081313586473466,40,1.6466942804654439,40,1.6320534117126464,40,1.6035610537099838,40,1.58968994140625,40,1.5627622566986084,40,1.5492197021484375,40,1.511655807571411,40,1.4994016551721094,40,1.4873731152558327
