order, start,  end
3, 2.3880, 2.3970
3, 2.4095, 2.4150
4, 2.3565, 2.3697
5, 2.3260, 2.3375
5, 2.3418, 2.3472
6, 2.2965, 2.3157
6, 2.3175, 2.3224
