x2,w2,x3,w3,x4,w4,x5,w5,x6,w6,x7,w7,x8,w8,x10,w10,x11,w11,x12,w12,x13,w13,x14,w14,x16,w16
29,2.4178593347883224,29,2.385599268705845,29,2.3542122550582882,29,2.3236614298534395,29,2.293908775298595,29,2.264931689605713,29,2.236697658956051,29,2.1823424081921576,29,2.1561653204345705,29,2.1311561096191407,29,2.105741572313309,29,2.0814137743115424,29,2.034468952174187
30,2.4178776999545097,30,2.3856174312877654,30,2.3542302013087273,30,2.3236791695189476,30,2.2939263192605974,30,2.2649490245079993,30,2.2367147988677023,30,2.182359163527489,30,2.1561819106578826,30,2.1311713781738284,30,2.1057577126407625,30,2.081429740409851,30,2.034484571683407
31,2.4178960630464554,31,2.3856355917572976,31,2.354248145520687,31,2.323696907250881,31,2.293943861131668,31,2.2649663575458527,31,2.2367319368338583,31,2.1823759169387817,31,2.1561984984016416,31,2.1311866357421874,31,2.1057738509178163,31,2.08144570476532,31,2.034500189511776
32,2.417914424059391,32,2.3856537501740456,32,2.354266087799072,32,2.3237146430420874,32,2.2939614011263845,32,2.264983688645363,32,2.2367490729904174,32,2.18239266851902,32,2.1562150845575334,32,2.131201813964844,32,2.1057899876880644,32,2.081461667568684,32,2.034515805726051
33,2.4179327824306487,33,2.38567190605402,33,2.354284027557373,33,2.323732376282215,33,2.293978938589096,33,2.265001017274857,33,2.2367662067127227,33,2.182409417777061,33,2.156231668639183,33,2.1312170764160157,33,2.1058061223268507,33,2.081477628188133,33,2.0345314197182653
34,2.417951138651371,34,2.3856900598526,34,2.3543019652342796,34,2.323750107502937,34,2.2939964740395546,34,2.2650183439826965,34,2.236783338532448,34,2.1824261650276187,34,2.156248250551224,34,2.1312323278808596,34,2.105822255206108,34,2.0814935870432856,34,2.0345470320296286
35,2.4179694927835467,35,2.3857082114362718,35,2.3543199008345606,35,2.3237678367376327,35,2.294014007513523,35,2.265035668666363,35,2.2368004682850837,35,2.182442910466194,35,2.1562648300695417,35,2.1312475012207033,35,2.105838386077881,35,2.0815095441508293,35,2.034562642571926
36,2.4179878445911407,36,2.3857263607907293,36,2.3543378341507912,36,2.323785563697815,36,2.294031538703442,36,2.26505299115181,36,2.236817595963478,36,2.18245965375185,36,2.1562814080047605,36,2.131262784423828,36,2.105854515419006,36,2.081525499417782,36,2.034578251245022
37,2.418006193943024,37,2.385744507727623,37,2.354355765120983,37,2.3238032883548736,37,2.294049067618847,37,2.2650703114748003,37,2.236834721395969,37,2.182476394810677,37,2.156297983503342,37,2.1312780358886716,37,2.105870642414093,37,2.0815414526176452,37,2.034593857867718
38,2.418024541568756,38,2.3857626529240608,38,2.354373694393635,38,2.3238210112428663,38,2.294066594827175,38,2.265087630112171,38,2.236851845164299,38,2.182493134291172,38,2.15631455742836,38,2.1312931994628905,38,2.1058867679834368,38,2.0815574044537546,38,2.0346094630622864
39,2.4180428865003587,39,2.385780795443058,39,2.354391621146202,39,2.3238387316536904,39,2.2940841195368766,39,2.265104946284294,39,2.2368689665675165,39,2.18250987139225,39,2.1563311291456224,39,2.1313084765625,39,2.105902891740799,39,2.0815733540797234,39,2.034625066101551
40,2.418061229271889,40,2.385798935894966,40,2.354409545764923,40,2.323856450047493,40,2.294101642267704,40,2.265122260556221,40,2.2368860859823227,40,2.182526606578827,40,2.1563476985549923,40,2.1313237365722655,40,2.1059190131950376,40,2.08158930202961,40,2.034640667409897
41,2.418079569916725,41,2.3858170741438864,41,2.35442746830225,41,2.3238741663265228,41,2.2941191628527644,41,2.265139572701454,41,2.2369032033777234,41,2.182543339779377,41,2.1563642661905287,41,2.1313389038085937,41,2.105935133180618,41,2.081605248131752,41,2.034656266913414
42,2.4180979080796243,42,2.38583520996809,42,2.3544453884363175,42,2.323891880309582,42,2.2941366811418535,42,2.2651568826436996,42,2.2369203185367583,42,2.1825600708270074,42,2.1563808318376543,42,2.131354178466797,42,2.1059512513017653,42,2.081621192264557,42,2.034671864410639
43,2.4181162441182136,43,2.3858533436751364,43,2.3544633065009117,43,2.3239095921349526,43,2.2941541973686217,43,2.265174190516472,43,2.2369374317097663,43,2.1825767998814585,43,2.1563973953390123,43,2.1313694201660156,43,2.1059673675251007,43,2.0816371346485614,43,2.0346874601340295
44,2.4181345779657364,44,2.385871475234032,44,2.3544812224555014,44,2.3239273019981384,44,2.2941717115688323,44,2.2651914964342117,44,2.2369545428943636,44,2.1825935269975663,44,2.156413956747055,44,2.1313845935058593,44,2.1059834816932677,44,2.081653075249195,44,2.034703054149151
45,2.4181529094457628,45,2.3858896044874194,45,2.3544991361284255,45,2.323945009543896,45,2.2941892234921455,45,2.265208800134659,45,2.2369716518974303,45,2.182610251944065,45,2.156430515961647,45,2.131399859619141,45,2.1059995940065384,45,2.0816690139353273,45,2.0347186461639404
46,2.4181712386846543,46,2.3859077314519883,46,2.354517047650814,46,2.32396271494627,46,2.2942067333054545,46,2.265226101732254,46,2.2369887588632107,46,2.1826269749462606,46,2.1564470733022687,46,2.1314151123046874,46,2.106015704641342,46,2.0816849507761,46,2.0347342363607885
