 #      wave           flux
       14880.000      0.99971911
       14880.031      0.99970791
       14880.062      0.99969033
       14880.093      0.99966692
       14880.124      0.99963588
       14880.155      0.99959239
       14880.186      0.99952705
       14880.217      0.99942444
       14880.248      0.99925833
       14880.279      0.99898171
       14880.310      0.99851428
       14880.341      0.99773597
       14880.372      0.99652148
       14880.403      0.99487788
       14880.434      0.99307434
       14880.465      0.99160498
       14880.496      0.99102681
       14880.527      0.99160767
       14880.558      0.99307301
       14880.589      0.99486588
       14880.620      0.99650749
       14880.651      0.99773642
       14880.682      0.99852971
       14880.713      0.99900267
       14880.744      0.99927817
       14880.775      0.99943956
       14880.806      0.99953636
       14880.837      0.99959639
       14880.868      0.99963584
       14880.899      0.99966476
       14880.930      0.99968865
       14880.961      0.99970943
       14880.992      0.99972722
       14881.023      0.99974157
       14881.054      0.99975219
       14881.085      0.99975928
       14881.116      0.99976338
       14881.147      0.99976522
       14881.178      0.99976560
       14881.209      0.99976530
       14881.240      0.99976511
       14881.271      0.99976566
       14881.302      0.99976738
       14881.333      0.99977035
       14881.364      0.99977442
       14881.395      0.99977930
       14881.426      0.99978463
       14881.457      0.99979005
       14881.488      0.99979520
       14881.519      0.99979975
       14881.550      0.99980344
       14881.581      0.99980614
       14881.612      0.99980785
       14881.643      0.99980862
       14881.674      0.99980854
       14881.705      0.99980772
       14881.736      0.99980627
       14881.767      0.99980430
       14881.798      0.99980192
       14881.829      0.99979925
       14881.860      0.99979639
       14881.891      0.99979346
       14881.922      0.99979056
       14881.953      0.99978782
       14881.984      0.99978533
       14882.015      0.99978319
       14882.046      0.99978151
       14882.077      0.99978033
       14882.108      0.99977968
       14882.139      0.99977953
       14882.170      0.99977984
       14882.201      0.99978056
       14882.232      0.99978165
       14882.263      0.99978305
       14882.294      0.99978471
       14882.325      0.99978657
       14882.356      0.99978860
       14882.387      0.99979072
       14882.418      0.99979290
       14882.449      0.99979507
       14882.480      0.99979719
       14882.511      0.99979920
       14882.542      0.99980107
       14882.573      0.99980273
       14882.604      0.99980418
       14882.635      0.99980539
       14882.666      0.99980637
       14882.697      0.99980713
       14882.728      0.99980766
       14882.759      0.99980799
       14882.790      0.99980811
       14882.821      0.99980804
       14882.852      0.99980780
       14882.883      0.99980738
       14882.914      0.99980680
