# wave                 flux      
  1.4713992359318047   0.562621  
  1.4714011844485253   0.574716  
  1.4714033494731567   0.580744  
  1.4714052980007721   0.581483  
  1.4714072465335484   0.580158  
  1.4714094115760192   0.580085  
  1.4714113601196905   0.584121  
  1.4714135251742668   0.588666  
  1.4714154737288332   0.587642  
  1.4714176387955151   0.585168  
  1.4714195873609766   0.590351  
  1.4714217524397644   0.60091   
  1.471423701016121    0.606692  
  1.4714258661070148   0.605386  
  1.4714278146942668   0.602614  
  1.4714299797972665   0.601653  
  1.4714319283954138   0.601641  
  1.4714340935105195   0.602317  
  1.4714360421195622   0.605486  
  1.4714382072467742   0.611664  
  1.4714401558667127   0.616979  
  1.4714421044918125   0.616961  
  1.4714442696368653   0.612973  
  1.4714462182728607   0.609445  
  1.4714483834300198   0.607031  
  1.471450332076911    0.605125  
  1.4714524972461767   0.605058  
  1.4714544459039638   0.603967  
  1.471456611085336    0.595958  
  1.4714648388326634   0.580174  
  1.4714667875231389   0.581567  
  1.4714689527408316   0.583375  
  1.4714709014422034   0.58282   
  1.4714730666720033   0.581515  
  1.4714750153842713   0.585308  
  1.471476964101701    0.593572  
  1.4714791293493428   0.598301  
  1.471481078077669    0.595981  
  1.4714832433374183   0.592525  
  1.4714854086035396   0.59307   
  1.4714873573484974   0.594542  
  1.4714895226267266   0.59352   
  1.471491471382581    0.593118  
  1.4714936366729177   0.596009  
  1.471495585439669    0.59978   
  1.471497534211582    0.603538  
  1.4714996995197616   0.609053  
  1.4715016483025714   0.614449  
  1.4715038136228584   0.616469  
  1.4715057624165655   0.615678  
  1.4715079277489607   0.61265   
  1.471509876553565    0.60657   
  1.471512041898068    0.600074  
  1.4715139907135695   0.596268  
  1.4715161560701806   0.59364   
  1.4715181048965793   0.591249  
  1.471520270265299    0.591357  
  1.4715222191025952   0.593551  
  1.471524384483423    0.595453  
  1.4715263333316166   0.597231  
  1.4715284987245527   0.598267  
  1.4715304475836442   0.596211  
  1.4715323964478975   0.592238  
  1.4715345618586775   0.588352  
  1.4715365107338287   0.581973  
  1.4715386761567177   0.571438  
  1.4715406250427667   0.560302  
  1.4715427904777643   0.551125  
  1.4715447393747112   0.543472  
  1.4715469048218177   0.538758  
  1.4715488537296628   0.538697  
  1.471551019188878    0.541126  
  1.4715529681076212   0.543311  
  1.4715551335789456   0.545629  
  1.4715570825085869   0.548875  
  1.4715592479920205   0.552489  
  1.4715611969325602   0.557137  
  1.4715633624281033   0.564757  
  1.471565311379541    0.575004  
  1.4715672603361414   0.585286  
  1.4715694258495295   0.594253  
  1.4715713748170285   0.602026  
  1.4715735403425263   0.608812  
  1.4715754893209239   0.61549   
  1.4715776548585313   0.621726  
  1.4715798204025126   0.624094  
  1.4715817693975448   0.62223   
  1.4715839349536355   0.621756  
  1.4715858839595666   0.623483  
  1.4715878329706604   0.619771  
  1.4715899985445975   0.608058  
  1.4715919475665902   0.594535  
  1.4716432736704623   0.58494   
  1.4716454394075744   0.592005  
  1.4716473885764254   0.596267  
  1.4716495543256491   0.596369  
  1.4716515035054003   0.600565  
  1.4716536692667352   0.609211  
  1.471655618457387    0.613316  
  1.471657567653202    0.612743  
  1.4716597334323858   0.614879  
  1.4716616826391016   0.61882   
  1.471663848430397    0.61852   
  1.4716657976480132   0.613278  
  1.4716679634514205   0.604625  
  1.4716701292612024   0.593715  
  1.4716720784954567   0.583762  
  1.4716742443173507   0.575772  
  1.4716761935625058   0.567507  
  1.4716781428128243   0.560529  
  1.4716803086525678   0.558036  
  1.4716822579137874   0.557546  
  1.471684423765643    0.554606  
  1.4716863730377636   0.547728  
  1.4718815429734216   0.588094  
  1.4718834927677533   0.594682  
  1.4718856592119582   0.611031  
  1.4718876090171955   0.625     
  1.471889775473518    0.625983  
  1.4718917252896608   0.621714  
  1.4718936751109697   0.622456  
  1.4718958415851495   0.623819  
  1.471897791417364    0.619447  
  1.4718999579036613   0.615499  
  1.4719019077467816   0.620371  
  1.4719040742451965   0.631435  
  1.471906024099223    0.639351  
  1.4719081906097555   0.639417  
  1.4719101404746882   0.635395  
  1.4719123069973388   0.632811  
  1.4719142568731773   0.631066  
  1.4719164234079458   0.626811  
  1.4719183732946908   0.621384  
  1.4719205398415771   0.617645  
  1.4719224897392282   0.615003  
  1.471924656298233    0.613233  
  1.4719266062067906   0.613551  
  1.4719285561205144   0.614391  
  1.471930722697378    0.614532  
  1.471932672622008    0.616755  
  1.4719348392109899   0.621167  
  1.4719367891465267   0.622698  
  1.4719389557476272   0.620195  
  1.4719411223551058   0.618426  
  1.47194307230729     0.618424  
  1.4719452389268872   0.615294  
  1.4719471888899782   0.607568  
  1.4719491388582355   0.600849  
  1.471951305495692    0.599342  
  1.4719532554748564   0.599649  
  1.471955422124432    0.597188  
  1.4719573721145036   0.593929  
  1.4719593221097416   0.594381  
  1.4719614887771768   0.598433  
  1.4719636554509905   0.603093  
  1.4719656054628765   0.607221  
  1.4719677721488094   0.611642  
  1.4719697221716028   0.61694   
  1.4719718888696551   0.621332  
  1.4719738389033559   0.621534  
  1.4719760056135278   0.617962  
  1.471977955658136    0.615292  
  1.4719801223804274   0.614953  
  1.4719820724359434   0.613003  
  1.4719840224966263   0.607473  
  1.471986189236778    0.601417  
  1.4719881393083687   0.597854  
  1.4719903060606403   0.596908  
  1.4719922561431389   0.598136  
  1.4719944229075306   0.601913  
  1.4719963730009369   0.606911  
  1.4719985397774487   0.609141  
  1.4720004898817631   0.607534  
  1.4720026566703948   0.606886  
  1.4720046067856174   0.609823  
  1.4720067735863693   0.612256  
